month,day,names
4,10,Antoni;Apoloniusz;Borysław;Daniel;Ezechiel;Grodzisław;Henryk;Makary
4,11,Adolf;Filip;Gemma;Herman;Hildebrand;Hildebranda;Izolda;Jaromir
4,12,Andrzej;Barabasz;Damian;Juliusz;Ludosław;Ludzisław;Lutosław;Owidiusz
4,13,Artemon;Hermenegilda;Hermina;Ida;Iga;Jan;Justyn;Justyna
4,14,Ardalion;Berenika;Bernard;Jadwiga;Julianna;Justyna;Krzysztof;Lawinia
4,15,Abel;Adolfina;Anastazja;Leonid;Świegniew;Modest;Odetta;Olimpia
4,16,Benedykt;Bernadeta;Bernadetta;Bernard;Biruta;Cecylian;Cecyliusz;Charyzjusz
4,17,Anicet;Aniceta;Innocenty;Izydor;Izydora;Jakub;Józef;Klara
4,18,Aleksander;Alicja;Apoloniusz;Barbara;Bogumiła;Bogusław;Bogusława;Flawiusz
4,19,Adolf;Alf;Cieszyrad;Irydion;Jerzy;Konrad;Konrada;Leon
4,20,Agnieszka;Amalia;Berenika;Czech;Czesław;Lubosław;Marcelin;Nawoj
4,21,Addar;Anzelm;Anzelma;Apollina;Apollo;Apoloniusz;Bartosz;Drogomił
4,22,Agapit;Agapita;Aital;Bona;Gaja;Gajusz;Heliodor;Kaja
4,23,Adalbert;Adalberta;Gabriela;Gerard;Gerarda;Helena;Idzi;Ilona
4,24,Agrypina;Aleksa;Aleksander;Aleksja;Aleksy;Bona;Egbert;Erwin
4,25,Elwira;Ewodia;Ewodiusz;Jaromił;Jarosław;Jarosz;Kaliksta;Marek
4,26,Artemon;Klarencjusz;Klaudiusz;Klet;Marcelin;Marcelina;Maria;Marzena
4,27,Anastazy;Andrzej;Bożebor;Felicja;Kanizjusz;Żywisław;Marcin;Piotr
4,28,Afrodyzja;Afrodyzjusz;Afrodyzy;Andrea;Arystarch;Bogna;Ludwik;Marek
4,29,Angelina;Augustyn;Bogusław;Bogusz;Ermentruda;Hugo;Hugon;Katarzyna
4,30,Afrodyzja;Afrodyzjusz;Afrodyzy;Andrea;Balladyna;Bartłomiej;Chwalisława;Eutropiusz
5,1,Aniela;Berta;Briok;Filip;Floryna;Gracjana;Jakub;Józef
5,2,Anastazy;Anatol;Antonin;Atanazja;Atanazy;Borys;Celestyna;Gwalbert
5,3,Aleksander;Alodia;Antonina;Irmgarda;Jaropełk;Juwenalis;Leonia;Świętochna
5,4,Amalia;Antonina;Florian;Floriana;Floryn;Gotard;Grzegorz;January
5,5,Erna;Ernesta;Hilary;Irena;Iryda;Penelopa;Pius;Sabrina
5,6,Benedykta;Benina;Domagniew;Dominika;Edbert;Ewodia;Ewodiusz;Filip
